,timestamp,open,high,low,close,adjusted close,volume,dividend amount,Symbol
275,2001-09-28,48.15,48.18,40.9,46.7,10.207,12972900,0.0,AZN
276,2001-08-31,50.55,51.14,46.65,48.5,10.6004,9349600,0.23,AZN
277,2001-07-31,46.75,51.2,46.54,50.45,10.9752,9829300,0.0,AZN
278,2001-06-29,48.25,50.24,46.7,46.75,10.1703,8601900,0.0,AZN
279,2001-05-31,47.3,50.55,45.58,47.82,10.4031,15907000,0.0,AZN
280,2001-04-30,48.28,51.1,46.39,47.52,10.3378,9403200,0.0,AZN
281,2001-03-30,46.92,48.92,43.91,48.25,10.4966,14914900,0.0,AZN
282,2001-02-28,44.41,46.9,42.2,46.25,10.0615,14325000,0.47,AZN
283,2001-01-31,51.06,51.75,43.9,44.41,9.5627,16498000,0.0,AZN
284,2000-12-29,50.88,52.38,47.13,51.5,11.0893,11478900,0.0,AZN
285,2000-11-30,46.63,52.13,46.13,51.44,11.0764,11292900,1.07,AZN
286,2000-10-31,51.25,52.31,45.06,47.69,10.0453,14044700,0.0,AZN
287,2000-09-29,45.94,53.25,43.88,52.56,11.0711,7743200,0.2555,AZN
288,2000-08-31,43.63,46.56,42.88,45.56,9.5413,8056600,0.0,AZN
289,2000-07-31,46.5,48.56,42.44,42.75,8.9528,5662400,0.0,AZN
290,2000-06-30,43.25,46.94,40.31,46.5,9.7382,5400200,0.0,AZN
291,2000-05-31,42.0,44.13,39.75,42.06,8.8083,6996200,0.0,AZN
292,2000-04-28,42.0,45.75,41.0,42.13,8.823,6567300,0.0,AZN
293,2000-03-31,33.69,44.63,33.63,40.5,8.4816,13271900,0.47,AZN
294,2000-02-29,36.94,38.25,31.0,33.13,6.85,8652500,0.0,AZN
295,2000-01-31,41.38,42.13,36.75,38.0,7.8569,8022000,0.0,AZN
296,1999-12-31,44.75,45.63,39.5,41.75,8.6323,8174400,0.0,AZN
0,2024-08-30,76.11,80.25,72.43,79.0,79.0,120010345,0.0,GILD
1,2024-07-31,68.63,78.45,66.01,76.06,76.06,136282111,0.0,GILD
2,2024-06-28,64.3,72.18,62.685,68.61,68.61,185026755,0.77,GILD
3,2024-05-31,65.32,68.37,62.07,64.27,63.5182,143169806,0.0,GILD
4,2024-04-30,73.22,73.22,64.63,65.2,64.4374,156144581,0.0,GILD
5,2024-03-28,72.28,76.21,71.96,73.25,72.3932,147876094,0.77,GILD
6,2024-02-29,78.0,78.58,71.37,72.1,70.5249,155143777,0.0,GILD
7,2024-01-31,80.91,87.865,77.37,78.26,76.5503,159743221,0.0,GILD
8,2023-12-29,76.78,83.12,76.2,81.01,79.2402,132828505,0.75,GILD
9,2023-11-30,79.0,82.59,73.99,76.6,74.2457,138228117,0.0,GILD
10,2023-10-31,75.0,81.07,72.8659,78.54,76.1261,117163035,0.0,GILD
